year,game number,white,black,white num moves,black num moves,white ACPL,black ACPL,combined ACPL,ECO,opening,WC
1890,14,"Gunsberg, Isidor","Steinitz, William",33,33,44.36363636363637,33.121212121212125,77.4848484848485,C52,"Italian Game: Evans Gambit, Slow Variation",Wilhelm Steinitz
1890,15,"Steinitz, William","Gunsberg, Isidor",39,38,13.76923076923077,12.763157894736842,26.532388663967613,E14,Queen's Indian Defense: Spassky System,Wilhelm Steinitz
1890,16,"Gunsberg, Isidor","Steinitz, William",21,20,28,49.8,77.8,C52,"Italian Game: Evans Gambit, Slow Variation",Wilhelm Steinitz
1890,17,"Steinitz, William","Gunsberg, Isidor",56,56,25.142857142857142,24.767857142857142,49.910714285714285,D06,Queen's Gambit Declined: Marshall Defense,Wilhelm Steinitz
1890,18,"Gunsberg, Isidor","Steinitz, William",54,54,36.74074074074074,29.166666666666668,65.9074074074074,C52,"Italian Game: Evans Gambit, Slow Variation",Wilhelm Steinitz
1890,19,"Steinitz, William","Gunsberg, Isidor",41,41,14.121951219512194,14.731707317073171,28.853658536585364,D00,Queen's Pawn Game,Wilhelm Steinitz
1892,1,"Chigorin, Mikhail","Steinitz, William",30,30,35.06666666666667,64.9,99.96666666666667,C52,"Italian Game: Evans Gambit, Alapin-Steinitz Variation",Wilhelm Steinitz
1892,2,"Steinitz, William","Chigorin, Mikhail",32,31,30.125,31.451612903225808,61.57661290322581,C65,Ruy Lopez: Berlin Defense,Wilhelm Steinitz
1892,3,"Chigorin, Mikhail","Steinitz, William",32,32,23.84375,26.78125,50.625,C52,"Italian Game: Evans Gambit, Alapin-Steinitz Variation",Wilhelm Steinitz
1892,4,"Steinitz, William","Chigorin, Mikhail",27,27,12.185185185185185,22.037037037037038,34.22222222222222,C65,Ruy Lopez: Berlin Defense,Wilhelm Steinitz
1892,5,"Chigorin, Mikhail","Steinitz, William",55,54,21.69090909090909,22.74074074074074,44.431649831649835,C52,"Italian Game: Evans Gambit, Alapin-Steinitz Variation",Wilhelm Steinitz
1892,6,"Steinitz, William","Chigorin, Mikhail",47,46,20.595744680851062,38.02173913043478,58.617483811285844,C59,"Italian Game: Two Knights Defense, Steinitz Variation",Wilhelm Steinitz
1892,7,"Chigorin, Mikhail","Steinitz, William",28,27,21.321428571428573,40.18518518518518,61.50661375661376,C52,"Italian Game: Evans Gambit, Sanders-Alapin Variation",Wilhelm Steinitz
1892,8,"Steinitz, William","Chigorin, Mikhail",24,24,87.20833333333333,55.5,142.70833333333331,C58,"Italian Game: Two Knights Defense, Polerio Defense, Bishop Check Line",Wilhelm Steinitz
1892,9,"Chigorin, Mikhail","Steinitz, William",34,33,15.529411764705882,14.454545454545455,29.983957219251337,C52,"Italian Game: Evans Gambit, Sanders-Alapin Variation",Wilhelm Steinitz
1892,10,"Steinitz, William","Chigorin, Mikhail",30,30,51.96666666666667,33.43333333333333,85.4,C58,"Italian Game: Two Knights Defense, Polerio Defense, Bishop Check Line",Wilhelm Steinitz
1892,11,"Chigorin, Mikhail","Steinitz, William",45,45,43.08888888888889,31.08888888888889,74.17777777777778,C62,Ruy Lopez: Steinitz Defense,Wilhelm Steinitz
1892,12,"Steinitz, William","Chigorin, Mikhail",26,26,53.26923076923077,17.03846153846154,70.3076923076923,C59,"Italian Game: Two Knights Defense, Steinitz Variation",Wilhelm Steinitz
1892,13,"Chigorin, Mikhail","Steinitz, William",38,38,33.55263157894737,17.736842105263158,51.28947368421053,C52,"Italian Game: Evans Gambit, Alapin-Steinitz Variation",Wilhelm Steinitz
1892,14,"Steinitz, William","Chigorin, Mikhail",33,31,21.060606060606062,42.516129032258064,63.576735092864126,C65,Ruy Lopez: Berlin Defense,Wilhelm Steinitz
1892,15,"Chigorin, Mikhail","Steinitz, William",47,46,64.70212765957447,74.19565217391305,138.8977798334875,C52,"Italian Game: Evans Gambit, Alapin-Steinitz Variation",Wilhelm Steinitz
1892,16,"Steinitz, William","Chigorin, Mikhail",38,37,26.57894736842105,35.32432432432432,61.90327169274538,C77,"Ruy Lopez: Morphy Defense, Anderssen Variation",Wilhelm Steinitz
1892,17,"Chigorin, Mikhail","Steinitz, William",39,37,28.71794871794872,38.75675675675676,67.47470547470547,C52,"Italian Game: Evans Gambit, Alapin-Steinitz Variation",Wilhelm Steinitz
1892,18,"Steinitz, William","Chigorin, Mikhail",39,37,25.487179487179485,41.7027027027027,67.18988218988218,A04,Zukertort Opening: Dutch Variation,Wilhelm Steinitz
1892,19,"Chigorin, Mikhail","Steinitz, William",32,31,48.125,71.41935483870968,119.54435483870968,C45,Scotch Game: Horwitz Attack,Wilhelm Steinitz
1892,20,"Steinitz, William","Chigorin, Mikhail",41,40,16.024390243902438,25.175,41.19939024390244,D05,Queen's Pawn Game: Colle System,Wilhelm Steinitz
1892,21,"Chigorin, Mikhail","Steinitz, William",47,46,55.276595744680854,54.26086956521739,109.53746530989824,C25,"Vienna Gambit, with Max Lange Defense: Steinitz Gambit, Main Line",Wilhelm Steinitz
1892,22,"Steinitz, William","Chigorin, Mikhail",49,48,17.224489795918366,28.583333333333332,45.8078231292517,D55,"Queen's Gambit Declined: Modern Variation, Normal Line",Wilhelm Steinitz
1892,23,"Chigorin, Mikhail","Steinitz, William",31,32,34.58064516129032,35,69.58064516129032,C34,King's Gambit Accepted: Schallopp Defense,Wilhelm Steinitz
1894,1,"Lasker, Emanuel","Steinitz, William",60,59,23.933333333333334,27.76271186440678,51.69604519774011,C62,Ruy Lopez: Steinitz Defense,Emanuel Lasker
1894,2,"Steinitz, William","Lasker, Emanuel",42,41,25.595238095238095,36,61.595238095238095,C65,Ruy Lopez: Berlin Defense,Emanuel Lasker
1894,3,"Lasker, Emanuel","Steinitz, William",52,51,32.32692307692308,40.96078431372549,73.28770739064856,C62,Ruy Lopez: Steinitz Defense,Emanuel Lasker
1894,4,"Steinitz, William","Lasker, Emanuel",60,59,34.233333333333334,39.355932203389834,73.58926553672316,C53,"Italian Game: Classical Variation, Greco Gambit",Emanuel Lasker
1894,5,"Lasker, Emanuel","Steinitz, William",50,49,17.7,16.93877551020408,34.638775510204084,C62,Ruy Lopez: Steinitz Defense,Emanuel Lasker
